zone_name,cycle_number,start_datetime,end_datetime,start_frame,end_frame,elapsed_seconds,adjusted_time_seconds,created_at
A2_Assemble,1,2025-11-01 15:26:21.142,2025-11-01 15:26:22.896,211,335,5.167,5.0,2025-11-01 15:26:22
A2_Assemble,2,2025-11-01 15:26:26.520,2025-11-01 15:26:28.104,590,702,4.667,4.5,2025-11-01 15:26:28
A2_Assemble,3,2025-11-01 15:26:31.368,2025-11-01 15:26:33.072,931,1053,5.083,4.917,2025-11-01 15:26:33
A2_Assemble,4,2025-11-01 15:26:36.350,2025-11-01 15:26:38.083,1283,1406,5.125,4.958,2025-11-01 15:26:38
A2_Assemble,5,2025-11-01 15:26:41.302,2025-11-01 15:26:42.714,1634,1735,4.208,4.042,2025-11-01 15:26:42
A2_Assemble,6,2025-11-01 15:26:45.714,2025-11-01 15:26:46.881,1946,2029,3.458,3.292,2025-11-01 15:26:46
A2_Assemble,10,2025-11-01 15:27:02.031,2025-11-01 15:27:03.793,3093,3218,5.208,5.042,2025-11-01 15:27:03
A2_Assemble,11,2025-11-01 15:27:07.150,2025-11-01 15:27:08.915,3451,3576,5.208,5.042,2025-11-01 15:27:08
A_Assemble,1,2025-11-01 15:26:18.363,2025-11-01 15:26:20.146,18,142,5.167,5.0,2025-11-01 15:26:20
A_Assemble,2,2025-11-01 15:26:23.897,2025-11-01 15:26:25.903,405,547,5.917,5.75,2025-11-01 15:26:25
A_Assemble,3,2025-11-01 15:26:29.003,2025-11-01 15:26:30.751,765,889,5.167,5.0,2025-11-01 15:26:30
A_Assemble,4,2025-11-01 15:26:33.881,2025-11-01 15:26:35.633,1109,1233,5.167,5.0,2025-11-01 15:26:35
A_Assemble,5,2025-11-01 15:26:38.931,2025-11-01 15:26:40.782,1466,1598,5.5,5.333,2025-11-01 15:26:40
A_Assemble,6,2025-11-01 15:26:43.464,2025-11-01 15:26:44.989,1787,1895,4.5,4.333,2025-11-01 15:26:44
A_Assemble,7,2025-11-01 15:26:47.573,2025-11-01 15:26:49.268,2077,2197,5.0,4.833,2025-11-01 15:26:49
A_Assemble,10,2025-11-01 15:26:59.757,2025-11-01 15:27:01.429,2931,3051,5.0,4.833,2025-11-01 15:27:01
A_Assemble,11,2025-11-01 15:27:04.600,2025-11-01 15:27:06.315,3273,3393,5.0,4.833,2025-11-01 15:27:06
B2_Assemble,1,2025-11-01 15:26:21.000,2025-11-01 15:26:22.580,201,313,4.667,4.5,2025-11-01 15:26:22
B2_Assemble,2,2025-11-01 15:26:26.461,2025-11-01 15:26:28.043,586,698,4.667,4.5,2025-11-01 15:26:28
B2_Assemble,3,2025-11-01 15:26:31.623,2025-11-01 15:26:34.386,949,1145,8.167,8.0,2025-11-01 15:26:34
B2_Assemble,4,2025-11-01 15:26:38.025,2025-11-01 15:26:40.788,1402,1598,8.167,8.0,2025-11-01 15:26:40
B2_Assemble,5,2025-11-01 15:26:43.608,2025-11-01 15:26:46.972,1797,2035,9.917,9.75,2025-11-01 15:26:46
B2_Assemble,9,2025-11-01 15:27:02.031,2025-11-01 15:27:03.796,3093,3218,5.208,5.042,2025-11-01 15:27:03
B2_Assemble,10,2025-11-01 15:27:06.980,2025-11-01 15:27:08.798,3439,3568,5.375,5.208,2025-11-01 15:27:08
B_Assemble,1,2025-11-01 15:26:18.363,2025-11-01 15:26:19.961,18,130,4.667,4.5,2025-11-01 15:26:19
B_Assemble,2,2025-11-01 15:26:23.813,2025-11-01 15:26:25.642,399,529,5.417,5.25,2025-11-01 15:26:25
B_Assemble,3,2025-11-01 15:26:29.003,2025-11-01 15:26:30.842,765,895,5.417,5.25,2025-11-01 15:26:30
B_Assemble,4,2025-11-01 15:26:35.070,2025-11-01 15:26:37.319,1193,1352,6.625,6.458,2025-11-01 15:26:37
B_Assemble,5,2025-11-01 15:26:41.331,2025-11-01 15:26:43.018,1636,1756,5.0,4.833,2025-11-01 15:26:43
B_Assemble,6,2025-11-01 15:26:47.573,2025-11-01 15:26:49.274,2077,2197,5.0,4.833,2025-11-01 15:26:49
B_Assemble,9,2025-11-01 15:26:59.757,2025-11-01 15:27:01.463,2931,3053,5.083,4.917,2025-11-01 15:27:01
B_Assemble,10,2025-11-01 15:27:04.600,2025-11-01 15:27:06.347,3273,3395,5.083,4.917,2025-11-01 15:27:06
